date,usd_krw,kr_base_rate,us_base_rate,rate_diff
2022-11-22,1352.3,3.0,3.757999897003174,-0.7579998970031738
2022-11-23,1355.7,3.0,3.7060000896453857,-0.7060000896453857
2022-11-24,1352.3,3.25,3.7060000896453857,-0.45600008964538574
2022-11-25,1333.2,3.25,3.690999984741211,-0.44099998474121094
2022-11-28,1326.8,3.25,3.703000068664551,-0.4530000686645508
2022-11-29,1339.0,3.25,3.747999906539917,-0.497999906539917
2022-11-30,1331.5,3.25,3.703000068664551,-0.4530000686645508
2022-12-01,1320.1,3.25,3.5290000438690186,-0.27900004386901855
2022-12-02,1300.8,3.25,3.50600004196167,-0.2560000419616699
2022-12-05,1300.4,3.25,3.5989999771118164,-0.3489999771118164
2022-12-06,1293.2,3.25,3.513000011444092,-0.2630000114440918
2022-12-07,1309.0,3.25,3.4079999923706055,-0.15799999237060547
2022-12-08,1319.5,3.25,3.490999937057495,-0.24099993705749512
2022-12-09,1320.4,3.25,3.566999912261963,-0.3169999122619629
2022-12-12,1306.6,3.25,3.6110000610351562,-0.36100006103515625
2022-12-13,1310.0,3.25,3.500999927520752,-0.25099992752075195
2022-12-14,1304.4,3.25,3.503000020980835,-0.25300002098083496
2022-12-15,1296.0,3.25,3.450000047683716,-0.20000004768371582
2022-12-16,1301.0,3.25,3.4820001125335693,-0.23200011253356934
2022-12-19,1310.1,3.25,3.5810000896453857,-0.33100008964538574
2022-12-20,1302.0,3.25,3.684000015258789,-0.43400001525878906
2022-12-21,1298.0,3.25,3.684000015258789,-0.43400001525878906
2022-12-22,1286.6,3.25,3.6689999103546143,-0.41899991035461426
2022-12-23,1276.1,3.25,3.750999927520752,-0.500999927520752
2022-12-26,1282.2,3.25,3.750999927520752,-0.500999927520752
2022-12-27,1276.4,3.25,3.859999895095825,-0.6099998950958252
2022-12-28,1268.3,3.25,3.88700008392334,-0.6370000839233398
2022-12-29,1268.4,3.25,3.8350000381469727,-0.5850000381469727
2022-12-30,1267.3,3.25,3.878999948501587,-0.6289999485015869
2023-01-02,1267.3,3.25,3.878999948501587,-0.6289999485015869
2023-01-03,1268.9,3.25,3.7929999828338623,-0.5429999828338623
2023-01-04,1272.1,3.25,3.7090001106262207,-0.4590001106262207
2023-01-05,1274.7,3.25,3.7200000286102295,-0.4700000286102295
2023-01-06,1270.3,3.25,3.569000005722046,-0.3190000057220459
2023-01-09,1267.2,3.25,3.5169999599456787,-0.2669999599456787
2023-01-10,1246.8,3.25,3.621000051498413,-0.3710000514984131
2023-01-11,1240.8,3.25,3.553999900817871,-0.3039999008178711
2023-01-12,1245.3,3.25,3.4489998817443848,-0.19899988174438477
2023-01-13,1244.6,3.5,3.510999917984009,-0.010999917984008789
2023-01-16,1240.6,3.5,3.510999917984009,-0.010999917984008789
2023-01-17,1234.0,3.5,3.5350000858306885,-0.03500008583068848
2023-01-18,1238.5,3.5,3.375,0.125
2023-01-19,1239.8,3.5,3.3970000743865967,0.10299992561340332
2023-01-20,1236.0,3.5,3.4839999675750732,0.016000032424926758
