date,usd_krw,kr_base_rate
2023-05-12,1320.3,3.5
2023-05-15,1333.6,3.5
2023-05-16,1337.8,3.5
2023-05-17,1336.0,3.5
2023-05-18,1339.4,3.5
2023-05-19,1332.7,3.5
2023-05-22,1331.2,3.5
2023-05-23,1319.1,3.5
2023-05-24,1311.4,3.5
2023-05-25,1317.5,3.5
2023-05-26,1323.4,3.5
2023-05-30,1325.6,3.5
2023-05-31,1322.2,3.5
2023-06-01,1321.6,3.5
2023-06-02,1320.7,3.5
2023-06-05,1308.8,3.5
2023-06-07,1308.3,3.5
2023-06-08,1300.5,3.5
2023-06-09,1306.1,3.5
2023-06-12,1294.9,3.5
2023-06-13,1291.1,3.5
2023-06-14,1277.5,3.5
2023-06-15,1275.9,3.5
2023-06-16,1280.1,3.5
2023-06-19,1273.5,3.5
2023-06-20,1280.7,3.5
2023-06-21,1282.2,3.5
2023-06-22,1291.5,3.5
2023-06-23,1291.4,3.5
2023-06-26,1302.2,3.5
2023-06-27,1303.8,3.5
2023-06-28,1303.1,3.5
2023-06-29,1304.3,3.5
2023-06-30,1312.8,3.5
2023-07-03,1319.4,3.5
2023-07-04,1310.0,3.5
